Country,WHO_region,New_cases,Cum_cases,New_deaths,Cum_deaths
Sint Eustatius,AMRO,0,0,0,0
Malaysia,WPRO,0,0,0,0
Syrian Arab Republic,EMRO,0,0,0,0
Guyana,AMRO,0,0,0,0
Dominican Republic,AMRO,0,21,0,1
Malaysia,WPRO,30,7762,0,115
Guernsey,EURO,0,252,0,16
Guernsey,EURO,0,252,0,16
Guyana,AMRO,1,286,0,16
Somalia,EMRO,0,3106,0,93
Syrian Arab Republic,EMRO,0,496,0,25
Somalia,EMRO,26,3161,0,93
Sint Eustatius,AMRO,0,3,0,0
Guyana,AMRO,3,401,0,20
Somalia,EMRO,0,3220,0,93
Somalia,EMRO,23,3250,0,93
New Zealand,WPRO,3,1502,0,25
New Zealand,WPRO,3,1505,0,25
Guyana,AMRO,35,4061,0,119
Sudan,EMRO,55,14401,0,1116
Somalia,EMRO,0,4579,0,121
New Zealand,WPRO,18,1891,0,25
Sint Eustatius,AMRO,0,19,0,0
Guernsey,EURO,4,817,0,17
Guernsey,EURO,0,821,0,17
Somalia,EMRO,0,11164,0,510
Somalia,EMRO,0,12837,0,656
Guernsey,EURO,0,822,0,17
New Zealand,WPRO,1,2242,0,26
Sudan,EMRO,28,34461,0,2365
Somalia,EMRO,0,14946,0,775
New Zealand,WPRO,2,2461,0,26
Sint Eustatius,AMRO,0,20,0,0
Sint Eustatius,AMRO,0,24,0,0
Guernsey,EURO,4,1658,0,21
Sint Eustatius,AMRO,0,28,0,0
Sint Eustatius,AMRO,0,31,0,0
Nauru,WPRO,0,0,0,0
New Zealand,WPRO,33,13562,0,50
Nauru,WPRO,0,0,0,0
Guyana,AMRO,16,63040,0,1223
Nauru,WPRO,0,0,0,0
Sudan,EMRO,2,61987,0,4907
Guyana,AMRO,9,63267,0,1226
Sudan,EMRO,2,62127,0,4932
Sudan,EMRO,3,62138,0,4933
Somalia,EMRO,0,26565,0,1361
Guyana,AMRO,33,65892,0,1239
Syrian Arab Republic,EMRO,1,55914,0,3150
Nauru,WPRO,0,4608,0,1
Somalia,EMRO,0,27020,0,1361
Sudan,EMRO,0,63280,0,4961
Sudan,EMRO,20,63339,0,4962
Sint Eustatius,AMRO,0,1196,0,5
Nauru,WPRO,0,4610,0,1
Guyana,AMRO,0,71447,0,1281
Somalia,EMRO,0,27286,0,1361
Nauru,WPRO,0,4621,0,1
Syrian Arab Republic,EMRO,0,57423,0,3163
Nauru,WPRO,0,4621,0,1
Sudan,EMRO,0,63993,0,5046
Guyana,AMRO,0,73168,0,1298
Sudan,EMRO,0,63993,0,5046
Sint Eustatius,AMRO,0,1220,0,6
Somalia,EMRO,0,27334,0,1361
Syrian Arab Republic,EMRO,0,57423,0,3163
Nauru,WPRO,0,5393,0,1
Somalia,EMRO,0,27334,0,1361
